,Hole,Round,Birdie,Bogey,Double Bogey,Eagle,Other,Par
18,5,2,"Jason Day, Charles Howell III, Rafa Cabrera Bello, Devon Bling, Kevin O'Connell","Tiger Woods, Patrick Cantlay, Bubba Watson, Aaron Wise, Phil Mickelson, Si Woo Kim, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Viktor Hovland, Henrik Stenson, Kevin Tway, Keegan Bradley, Kiradech Aphibarnrat, Martin Kaymer, Cameron Smith, Billy Horschel, Takumi Kanaya, Bernhard Langer, Sergio Garcia, Justin Rose, Danny Willett, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Jovan Rebula, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal","Alex Noren, Sandy Lyle",NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Jordan Spieth, Bryson DeChambeau, Louis Oosthuizen, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Marc Leishman, Trevor Immelman, Eddie Pepperell, Tyrrell Hatton, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Stewart Cink, Mike Weir, Fred Couples, Adam Long, Larry Mize, Matt Wallace, Paul Casey, Michael Kim"
19,5,3,Keegan Bradley,"Tiger Woods, Brooks Koepka, Justin Harding, Bubba Watson, Phil Mickelson, Adam Scott, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Patrick Reed, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Cameron Smith, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, J.B. Holmes",Lucas Bjerregaard,NA,NA,"Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Aaron Wise, Patton Kizzire, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Charley Hoffman, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Takumi Kanaya, Emiliano Grillo, Bernhard Langer, Alex Noren"
20,5,4,"Patrick Cantlay, Phil Mickelson, Matthew Fitzpatrick","Tiger Woods, Xander Schauffele, Tony Finau, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Hideki Matsuyama, Alvaro Ortiz, Henrik Stenson, Corey Conners, Marc Leishman, Eddie Pepperell, Cameron Smith, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Alex Noren",Haotong Li,NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Kevin Tway, Jimmy Walker, Keegan Bradley, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, J.B. Holmes"
21,6,1,"Justin Harding, Ian Poulter, Lucas Bjerregaard, Matthew Fitzpatrick, Charley Hoffman, Henrik Stenson, Kevin Tway, Corey Conners, Kevin Na, Branden Grace, J.B. Holmes, Sandy Lyle, Shugo Imahira, Michael Kim","Justin Thomas, Bubba Watson, Si Woo Kim, Rory McIlroy, Haotong Li, Trevor Immelman, Eddie Pepperell, Tyrrell Hatton, Bernhard Langer, Danny Willett, Charl Schwartzel, Larry Mize, Angel Cabrera","Jordan Spieth, Sergio Garcia",NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Kevin Kisner, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Keegan Bradley, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Billy Horschel, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Alex Noren, Stewart Cink, Kevin O'Connell, Justin Rose, Mike Weir, Fred Couples, Adam Long, Brandt Snedeker, Shane Lowry, Jovan Rebula, Matt Wallace, Paul Casey, Vijay Singh, Ian Woosnam, Jose Maria Olazabal"
22,6,2,"Tiger Woods, Rickie Fowler, Matt Kuchar, Justin Thomas, Rory McIlroy, Louis Oosthuizen, Brandt Snedeker, Angel Cabrera","Brooks Koepka, Kevin Kisner, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Haotong Li, Bernhard Langer, Danny Willett",NA,NA,NA,"Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Jon Rahm, Justin Harding, Ian Poulter, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Mike Weir, Fred Couples, Adam Long, Charl Schwartzel, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh, Ian Woosnam, Jose Maria Olazabal"
23,6,3,"Tiger Woods, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Matt Kuchar, Si Woo Kim, Thorbjorn Olesen, Hideki Matsuyama, Tommy Fleetwood, Cameron Smith, Tyrrell Hatton, Takumi Kanaya, Alex Noren","Dustin Johnson, Webb Simpson, Rory McIlroy, Viktor Hovland, Keegan Bradley, Haotong Li, Satoshi Kodaira, Bernhard Langer",Zach Johnson,NA,NA,"Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Devon Bling, Billy Horschel, Branden Grace, Emiliano Grillo, J.B. Holmes"
24,6,4,"Justin Harding, Ian Poulter, Aaron Wise, Phil Mickelson, Kyle Stanley, Charley Hoffman, Trevor Immelman, Eddie Pepperell, Branden Grace, Satoshi Kodaira","Brooks Koepka, Webb Simpson, Jon Rahm, Matt Kuchar, Rory McIlroy, Viktor Hovland, Gary Woodland, Henrik Stenson, Jimmy Walker, Kiradech Aphibarnrat, Tyrrell Hatton, Takumi Kanaya, Emiliano Grillo, J.B. Holmes",NA,NA,NA,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Kevin Tway, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Billy Horschel, Zach Johnson, Bernhard Langer, Alex Noren"
25,7,1,"Aaron Wise, Gary Woodland, Tommy Fleetwood, Martin Kaymer, Eddie Pepperell, Cameron Smith","Webb Simpson, Adam Scott, Matthew Fitzpatrick, Kevin Kisner, Louis Oosthuizen, Viktor Hovland, Patrick Reed, Kevin Tway, Keegan Bradley, Corey Conners, Kevin Na, Trevor Immelman, Billy Horschel, Branden Grace, Zach Johnson, Alex Noren, Justin Rose, Mike Weir, Shane Lowry, Michael Kim, Ian Woosnam, Angel Cabrera","Emiliano Grillo, Vijay Singh",NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Alvaro Ortiz, Henrik Stenson, Jimmy Walker, Haotong Li, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Devon Bling, Tyrrell Hatton, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Jose Maria Olazabal"
26,7,2,"Louis Oosthuizen, Andrew Landry, Kiradech Aphibarnrat, Satoshi Kodaira, Kevin O'Connell, Danny Willett, Ian Woosnam","Matt Kuchar, Si Woo Kim, Kyle Stanley, Bryson DeChambeau, Henrik Stenson, Haotong Li, Corey Conners, Trevor Immelman, Billy Horschel, Zach Johnson, Takumi Kanaya, Emiliano Grillo, Fred Couples, Shane Lowry, Jose Maria Olazabal",Keegan Bradley,Keith Mitchell,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Kevin Tway, Jimmy Walker, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Branden Grace, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Justin Rose, Mike Weir, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh, Angel Cabrera"
27,7,3,"Tiger Woods, Webb Simpson, Aaron Wise, Kyle Stanley, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Andrew Landry, Devon Bling","Brooks Koepka, Xander Schauffele, Jason Day, Patton Kizzire, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Kevin Tway, Keegan Bradley, Haotong Li, Keith Mitchell, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Billy Horschel, Takumi Kanaya",NA,NA,NA,"Dustin Johnson, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Charley Hoffman, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Jimmy Walker, Corey Conners, Kiradech Aphibarnrat, Trevor Immelman, Cameron Smith, Tyrrell Hatton, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren"
28,7,4,"Tiger Woods, Jason Day, Patrick Cantlay, Jon Rahm, Ian Poulter, Aaron Wise, Patton Kizzire, Lucas Bjerregaard, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Tommy Fleetwood, Kevin Tway, Jimmy Walker, Haotong Li, Marc Leishman, Eddie Pepperell, Satoshi Kodaira","Xander Schauffele, Francesco Molinari, Rickie Fowler, Justin Harding, Jordan Spieth, Gary Woodland, Kevin Na, Trevor Immelman, Cameron Smith, Billy Horschel, Branden Grace, Takumi Kanaya, Emiliano Grillo","Kevin Kisner, Kiradech Aphibarnrat, Bernhard Langer",NA,NA,"Dustin Johnson, Brooks Koepka, Tony Finau, Webb Simpson, Matt Kuchar, Justin Thomas, Bubba Watson, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Keegan Bradley, Keith Mitchell, Corey Conners, Andrew Landry, Martin Kaymer, Devon Bling, Tyrrell Hatton, Zach Johnson, J.B. Holmes, Alex Noren"
29,8,1,"Dustin Johnson, Jason Day, Tony Finau, Webb Simpson, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Rafa Cabrera Bello, Alvaro Ortiz, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Andrew Landry, Marc Leishman, Martin Kaymer, Cameron Smith, Tyrrell Hatton, Emiliano Grillo, Bernhard Langer, Stewart Cink, Sergio Garcia, Mike Weir, Charl Schwartzel, Shugo Imahira, Larry Mize, Jovan Rebula","Jon Rahm, Justin Rose, Fred Couples, Vijay Singh, Angel Cabrera",NA,Billy Horschel,NA,"Tiger Woods, Brooks Koepka, Xander Schauffele, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Justin Harding, Matt Kuchar, Ian Poulter, Aaron Wise, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Jordan Spieth, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Devon Bling, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Alex Noren, Sandy Lyle, Kevin O'Connell, Danny Willett, Adam Long, Brandt Snedeker, Shane Lowry, Matt Wallace, Paul Casey, Michael Kim, Ian Woosnam, Jose Maria Olazabal"
30,8,2,"Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Matt Kuchar, Justin Thomas, Aaron Wise, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Hideki Matsuyama, Gary Woodland, Henrik Stenson, Kevin Tway, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Trevor Immelman, Billy Horschel, Branden Grace, Satoshi Kodaira, Kevin O'Connell, Matt Wallace, Angel Cabrera","Tiger Woods, Phil Mickelson, Louis Oosthuizen, Sandy Lyle, Michael Kim",NA,Rory McIlroy,NA,"Dustin Johnson, Jon Rahm, Justin Harding, Ian Poulter, Bubba Watson, Patton Kizzire, Matthew Fitzpatrick, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Viktor Hovland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Vijay Singh, Ian Woosnam, Jose Maria Olazabal"
31,8,3,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Francesco Molinari, Webb Simpson, Rickie Fowler, Ian Poulter, Bubba Watson, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Thorbjorn Olesen, Louis Oosthuizen, Charles Howell III, Gary Woodland, Patrick Reed, Henrik Stenson, Kevin Tway, Keith Mitchell, Andrew Landry, Eddie Pepperell, Devon Bling, Takumi Kanaya, Emiliano Grillo, Bernhard Langer","Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Zach Johnson",NA,Tony Finau,NA,"Jason Day, Patrick Cantlay, Jon Rahm, Justin Harding, Matt Kuchar, Justin Thomas, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Si Woo Kim, Rory McIlroy, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Martin Kaymer, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Satoshi Kodaira, J.B. Holmes, Alex Noren"
32,8,4,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Rickie Fowler, Matt Kuchar, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Corey Conners, Andrew Landry, Marc Leishman, Devon Bling, Billy Horschel, Branden Grace, Zach Johnson","Kevin Na, Kiradech Aphibarnrat, Satoshi Kodaira",NA,Jon Rahm,NA,"Webb Simpson, Patrick Cantlay, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Kevin Kisner, Jordan Spieth, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Gary Woodland, Tommy Fleetwood, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren"
33,9,1,"Tiger Woods, Xander Schauffele, Jon Rahm, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Devon Bling, Tyrrell Hatton, Branden Grace","Ian Poulter, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Rafa Cabrera Bello, Kevin Tway, Jimmy Walker, Martin Kaymer, Cameron Smith, Satoshi Kodaira, Kevin O'Connell, Justin Rose, Adam Long, Shugo Imahira, Shane Lowry, Matt Wallace, Michael Kim, Vijay Singh",NA,NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Eddie Pepperell, Billy Horschel, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Mike Weir, Danny Willett, Fred Couples, Charl Schwartzel, Brandt Snedeker, Larry Mize, Jovan Rebula, Paul Casey, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
34,9,2,"Tiger Woods, Xander Schauffele, Francesco Molinari, Phil Mickelson, Jordan Spieth, Charley Hoffman, Charles Howell III, Kevin Na, Fred Couples","Tony Finau, Aaron Wise, Kevin Kisner, Bryson DeChambeau, Keegan Bradley, Keith Mitchell, Devon Bling, Branden Grace, Emiliano Grillo, Bernhard Langer, Alex Noren, Stewart Cink, Sandy Lyle, Mike Weir, Danny Willett, Matt Wallace, Angel Cabrera, Jose Maria Olazabal",Vijay Singh,NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Sergio Garcia, Kevin O'Connell, Justin Rose, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Michael Kim, Ian Woosnam"
35,9,3,"Webb Simpson, Patrick Cantlay, Ian Poulter, Bryson DeChambeau, Charles Howell III, Hideki Matsuyama, Gary Woodland, Keegan Bradley, Kevin Na, Marc Leishman, Trevor Immelman, Takumi Kanaya, Bernhard Langer","Aaron Wise, Rory McIlroy, Rafa Cabrera Bello, Alvaro Ortiz, Andrew Landry, Billy Horschel, Alex Noren",NA,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
